𤠾,徹
殊,常
銖,常
洙,常
茱,常
㼡,常
殳,常
𢎦,常
㸡,常
𦤂,常
陎,常
杸,常
逾,以
踰,以
楰,以
腴,以
諛,以
覦,以
𨵦,以
愉,以
𢋅,以
褕,以
瑜,以
崳,以
㥚,以
羭,以
蝓,以
榆,以
萸,以
堬,以
渝,以
𤜹,以
㳛,以
𤧙,以
瘉,以
螸,以
蕍,以
𦺮,以
䜽,以
萮,以
𧃠,以
舀,以
㼶,以
騟,以
𢔢,以
𥯮,以
𥔢,以
鰸,溪
驅,溪
敺,溪
嶇,溪
軀,溪
摳,溪
䧢,溪
朱,章
珠,章
侏,章
絑,章
秼,章
鮢,章
𤝹,章
硃,章
趨,清
慺,來
蔞,來
氀,來
瞜,來
䱾,來
㟺,來
䝏,來
㺏,來
摟,來
鷜,來
鏤,來
䣚,來
婁,來
瘻,來
𤗬,來
膢,來
𢺻,並
芙,並
符,並
颫,並
鳧,並
榑,並
苻,並
蚨,並
𦽏,並
𣿆,並
瓿,並
𧥱,並
枎,並
坿,並
𣻜,並
𤱽,並
𣘧,並
𣻥,並
𢞦,並
𦑹,並
𦔾,並
玸,並
䅳,崇
雛,崇
鶵,崇
媰,崇
敷,滂
麩,滂
麱,滂
孚,滂
𣞒,滂
郛,滂
鋪,滂
筟,滂
俘,滂
痡,滂
怤,滂
䎔,滂
𧀮,滂
孵,滂
豧,滂
尃,滂
稃,滂
𥹃,滂
㕊,滂
㩤,滂
姇,滂
紨,滂
䓵,滂
㲗,滂
䓏,滂
諏,精
㖩,精
𡸨,精
娵,精
趺,幫
膚,幫
肤,幫
邞,幫
鈇,幫
衭,幫
㠸,幫
玞,幫
𩿧,幫
𧀴,幫
鳺,幫
柎,幫
𩬙,幫
𩵩,幫
䄮,幫
䃿,幫
紆,影
陓,影
䩽,影
䙔,影
㝼,影
虶,影
䨕,影
輸,書
樞,昌
姝,昌
𩪍,昌
䇬,昌
廚,澄
蹰,澄
趎,澄
幮,澄
拘,見
駒,見
䀠,見
岣,見
㪺,見
𨞜,見
跔,見
鮈,見
俱,見
痀,見
𥇛,見
毹,生
㡏,生
橾,生
螋,生
模,明
橅,明
摸,明
嫫,明
㡔,明
𨡭,明
謨,明
𠻚,明
膜,明
酺,並
匍,並
荹,並
菩,並
䔕,並
蒲,並
蒱,並
䈻,並
胡,匣
𩑶,匣
𠴱,匣
壺,匣
狐,匣
瓳,匣
餬,匣
瑚,匣
湖,匣
鶘,匣
猢,匣
醐,匣
𪏻,匣
䊀,匣
𪍒,匣
糊,匣
弧,匣
乎,匣
𠀒,匣
𪕱,匣
瓠,匣
㾰,匣
魱,匣
箶,匣
𥶜,匣
𧛞,匣
㯛,匣
孤,見
苽,見
菰,見
胍,見
𡗷,見
姑,見
辜,見
呱,見
泒,見
觚,見
蛄,見
箛,見
鴣,見
𠷞,見
沽,見
柧,見
𨬕,見
𧇡,見
盬,見
嫴,見
罛,見
軱,見
箍,見
䐻,見
徒,定
𨑒,定
瘏,定
途,定
酴,定
駼,定
𤙛,定
㭸,定
圖,定
𤺈,定
䅷,定
嵞,定
峹,定
鍍,定
䤅,定
蒤,定
䖘,定
鷵,定
奴,泥
㚢,泥
砮,泥
駑,泥
孥,泥
呼,曉
嘑,曉
𧦝,曉
歑,曉
謼,曉
幠,曉
恗,曉
軤,曉
虍,曉
苸,曉
雐,曉
䰧,曉
滹,曉
吾,疑
鼯,疑
𪁙,疑
𧋋,疑
吳,疑
浯,疑
䓊,疑
㹳,疑
㻍,疑
珸,疑
蜈,疑
郚,疑
鯃,疑
娪,疑
梧,疑
峿,疑
麌,疑
𦨳,疑
祦,疑
租,精
盧,來
鑪,來
壚,來
籚,來
顱,來
髗,來
鱸,來
攎,來
櫨,來
轤,來
黸,來
獹,來
鸕,來
艫,來
纑,來
瀘,來
瓐,來
爐,來
玈,來
𢐸,來
㢚,來
𤮧,來
嚧,來
矑,來
㿖,來
㭔,來
𧇄,來
𧆨,來
罏,來
蠦,來
㪭,來
𦿊,來
蘇,心
穌,心
㢝,心
酥,心
徂,從
䢐,從
殂,從
𣨐,從
烏,影
嗚,影
汚,影
杇,影
圬,影
鰞,影
歍,影
鎢,影
瑦,影
鄔,影
盓,影
螐,影
惡,影
𦶀,影
㮧,影
鴮,影
